SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,FG2M,FG2A,FG2_PTS,FG3_PTS,FRAC_ATT_2PT,FRAC_ATT_3PT,FRAC_MK_2PT,FRAC_MK_3PT,FRAC_PTS_2PT,FRAC_PTS_3PT,FRAC_PTS_FT,OPP_TEAM_ABBR,OPP_PTS,MONTH,YEAR,HOME_AWAY,CONFERENCE,OPP_CONFERENCE,DATE_MATCHUP
22025,1610612751,BKN,Brooklyn Nets,0022500116,2025-10-27,BKN @ HOU,L,240,41,86,0.477,15,40,0.375,12,18,0.667,15,22,37,22,3,0,14,24,109,-28,1,26,46,52,45,0.5348837209302325,0.46511627906976744,0.6341463414634146,0.36585365853658536,0.47706422018348627,0.41284403669724773,0.11009174311926606,HOU,137,10,2025,AWAY,EAST,WEST,10-27 @ HOU
22025,1610612747,LAL,Los Angeles Lakers,0022500122,2025-10-27,LAL vs. POR,L,240,40,86,0.465,7,27,0.259,21,26,0.808,12,30,42,23,11,5,25,19,108,-14,1,33,59,66,21,0.686046511627907,0.313953488372093,0.825,0.175,0.6111111111111112,0.19444444444444445,0.19444444444444445,POR,122,10,2025,HOME,WEST,WEST,10-27 vs. POR
22025,1610612757,POR,Portland Trail Blazers,0022500122,2025-10-27,POR @ LAL,W,240,47,103,0.456,14,43,0.326,14,15,0.933,19,30,49,24,12,9,19,17,122,14,1,33,60,66,42,0.5825242718446602,0.4174757281553398,0.7021276595744681,0.2978723404255319,0.5409836065573771,0.3442622950819672,0.11475409836065574,LAL,108,10,2025,AWAY,WEST,WEST,10-27 @ LAL
22025,1610612738,BOS,Boston Celtics,0022500117,2025-10-27,BOS @ NOP,W,240,46,95,0.484,18,53,0.34,12,15,0.8,16,38,54,25,5,7,12,24,122,32,1,28,42,56,54,0.4421052631578947,0.5578947368421052,0.6086956521739131,0.391304347826087,0.45901639344262296,0.4426229508196721,0.09836065573770492,NOP,90,10,2025,AWAY,EAST,EAST,10-27 @ NOP
22025,1610612741,CHI,Chicago Bulls,0022500115,2025-10-27,CHI vs. ATL,W,240,48,92,0.522,16,43,0.372,16,21,0.762,12,39,51,33,5,4,18,20,128,5,1,32,49,64,48,0.532608695652174,0.4673913043478261,0.6666666666666666,0.3333333333333333,0.5,0.375,0.125,ATL,123,10,2025,HOME,EAST,EAST,10-27 vs. ATL
22025,1610612742,DAL,Dallas Mavericks,0022500119,2025-10-27,DAL vs. OKC,L,240,33,87,0.379,12,39,0.308,16,22,0.727,6,30,36,20,6,4,9,15,94,-7,1,21,48,42,36,0.5517241379310345,0.4482758620689655,0.6363636363636364,0.36363636363636365,0.44680851063829785,0.3829787234042553,0.1702127659574468,OKC,101,10,2025,HOME,WEST,WEST,10-27 vs. OKC
22025,1610612750,MIN,Minnesota Timberwolves,0022500008,2025-10-27,MIN vs. DEN,L,240,40,85,0.471,10,32,0.313,24,29,0.828,7,26,33,19,8,9,15,22,114,-13,1,30,53,60,30,0.6235294117647059,0.3764705882352941,0.75,0.25,0.5263157894736842,0.2631578947368421,0.21052631578947367,DEN,127,10,2025,HOME,WEST,WEST,10-27 vs. DEN
22025,1610612743,DEN,Denver Nuggets,0022500008,2025-10-27,DEN @ MIN,W,240,46,88,0.523,13,26,0.5,22,25,0.88,10,36,46,24,5,4,14,24,127,13,1,33,62,66,39,0.7045454545454546,0.29545454545454547,0.717391304347826,0.2826086956521739,0.5196850393700787,0.30708661417322836,0.1732283464566929,MIN,114,10,2025,AWAY,WEST,WEST,10-27 @ MIN
22025,1610612761,TOR,Toronto Raptors,0022500118,2025-10-27,TOR @ SAS,L,240,37,79,0.468,12,32,0.375,17,23,0.739,1,19,20,29,9,4,15,23,103,-18,1,25,47,50,36,0.5949367088607594,0.4050632911392405,0.6756756756756757,0.32432432432432434,0.4854368932038835,0.34951456310679613,0.1650485436893204,SAS,121,10,2025,AWAY,EAST,WEST,10-27 @ SAS
22025,1610612759,SAS,San Antonio Spurs,0022500118,2025-10-27,SAS vs. TOR,W,240,39,67,0.582,13,27,0.481,30,36,0.833,7,37,44,29,11,3,21,17,121,18,1,26,40,52,39,0.5970149253731343,0.40298507462686567,0.6666666666666666,0.3333333333333333,0.4297520661157025,0.32231404958677684,0.24793388429752067,TOR,103,10,2025,HOME,WEST,EAST,10-27 vs. TOR
